# POINT CLOUD FOR CEREBELLAR FLATMAP MAPPING
#
# Coordinates in millimeters, registered to the standard marmoset cerebellum atlas.
#
# X (Sagittal): world-space sagittal axis (mm)
#   — positive values increase toward patient right.
# Y (Coronal): world-space coronal axis (mm)
#   — positive values increase toward posterior side.
# Z (Axial): world-space axial axis (mm)
#   — positive values increase toward inferior (downward).
#
# Comments start with '#' as in standard CSV.
# Columns must appear in X, Y, Z order. Example headers:
#   X_sagittal, Y_coronal, Z_axial
#
# Standard atlas reference:
#   Schaeffer DJ, Klassen LM, Hori Y, et al. An open access resource for functional brain connectivity from fully awake marmosets. NeuroImage. 2022;252:119030. doi:10.1016/j.neuroimage.2022.119030
#
X_sagittal,Y_coronal,Z_axial
-8.83,3.02,1.29
-10.7,-5.02,1.14
5.19,3.24,4.81
-11.69,-3.6,5.77
6.26,-1.63,0.3
-8.49,1.93,12.48
-10.08,-2.57,7.04
-9.84,-10.53,14.7
3.93,4.42,13.08
-6.16,-7.93,7.51
-2.02,-0.12,9.34
1.22,-3.57,4.81
8.38,-4.02,4.64
5.23,-7.96,2.13
-5.57,0.07,8.16
-8.85,-10.17,1.43
-10.65,4.58,6.73
-4.83,2.14,4.91
-5.76,-3.08,11.72
-1.18,-4.93,5.78
4.19,-7.25,13.33
4.48,-3.63,2.99
-5.26,2.71,13.75
-2.98,-7.44,8.85
-7.68,-3.65,1.99
6.68,-8.12,7.53
-10.62,-6.4,4.13
4.52,-8.86,11.12
6.45,4.58,9.7
6.42,-2.46,1.15
-5.83,0.25,6.3
-3.12,-10.41,13.12
1.93,-5.91,6.16
-5.51,2.94,11.04
-3.19,-10.64,1.89
-7.3,-9.28,12.83
-1.09,-1.55,7.54
-10.91,-1.6,14.0
6.95,2.02,8.04
-10.14,3.66,11.41
0.31,-9.67,14.36
-4.71,-7.7,10.83
1.69,-4.88,8.62
10.72,-12.04,5.56
3.3,-10.89,0.86
-11.12,-8.25,6.52
-1.79,-3.98,6.23
0.1,-7.83,12.19
0.72,2.67,2.99
4.15,-6.61,11.02
-5.4,3.47,0.79
-8.91,4.32,13.11
-2.68,-4.5,9.94
10.65,-8.24,6.37
-7.54,-7.16,4.1
9.41,0.98,2.92
0.9,-7.47,8.74
-1.16,-5.67,6.2
8.89,-4.02,11.03
-1.12,-2.4,13.41
5.16,4.67,4.53
-2.53,-8.16,9.68
9.41,-6.12,6.38
4.35,-7.64,0.86
4.58,-5.99,9.18
-4.21,-10.37,5.52
5.93,-6.02,0.44
3.08,2.86,7.1
-6.29,-7.04,1.57
-8.16,-5.81,9.36
6.87,3.81,7.88
10.71,0.18,7.51
-1.13,-3.38,13.84
2.01,1.0,13.02
8.32,-9.99,10.61
-1.15,-4.26,8.63
10.54,-10.07,3.9
1.65,-8.14,0.36
7.44,-9.68,1.98
9.53,-5.98,4.89
7.32,-5.65,3.1
-8.19,3.85,8.52
2.91,-7.62,8.01
-2.54,-4.12,5.9
-10.48,1.57,11.86
-1.94,1.64,10.86
-5.84,0.55,10.23
8.11,-7.22,7.54
-11.17,-3.74,0.87
10.71,-8.93,6.45
-3.56,-8.89,7.49
-3.53,-4.74,6.74
-11.57,0.35,0.3
-7.58,-3.21,9.71
-2.47,2.84,3.98
10.01,1.9,0.89
-9.61,-11.53,7.55
10.39,-2.51,13.61
8.59,-1.83,0.67
-1.22,4.09,0.44
-4.24,-11.67,8.77
-6.46,-3.14,8.12
2.57,-8.62,0.47
-11.18,-11.16,1.74
-11.59,-2.19,12.38
-1.82,0.92,6.81
-10.35,0.96,2.05
-6.0,-11.55,2.5
-6.73,-5.22,9.12
-5.97,-11.31,5.01
-8.86,-7.9,0.61
-11.68,-8.82,9.47
-9.23,-8.44,0.71
2.66,-6.36,1.84
11.07,-7.4,2.55
11.45,4.11,2.32
-2.29,-6.14,11.3
-8.11,2.96,1.6
3.14,-9.02,2.4
-0.37,0.77,6.73
11.43,-11.03,2.27
-10.42,-4.29,11.09
6.56,-11.97,7.32
-5.14,1.55,13.01
-6.25,3.91,0.79
3.7,-11.47,12.66
-6.14,3.63,2.47
3.78,0.94,13.68
0.27,-6.03,4.97
-1.93,3.21,7.66
1.15,-7.08,0.58
-5.17,-5.18,10.83
4.74,-10.44,3.34
-2.15,-1.02,13.55
-3.44,-11.56,9.85
7.63,-3.91,4.36
9.91,-0.58,4.03
-10.87,1.74,2.72
-6.46,-9.54,11.88
-3.72,0.61,6.61
7.31,0.02,4.26
11.34,-2.66,14.07
10.95,-2.24,11.89
9.43,-10.53,8.75
-4.95,-1.97,11.89
11.49,-5.65,1.98
-6.06,2.52,10.0
-9.46,-6.8,4.95
10.52,-2.37,10.22
-6.44,-4.89,14.2
4.35,2.66,11.57
-10.58,-7.79,8.45
5.31,-10.74,11.07
8.88,0.52,7.04
-5.52,-5.12,4.3
-3.0,-2.16,0.83
-3.11,-11.62,10.07
5.74,3.94,2.31
-6.34,2.68,6.91
-7.9,-1.58,9.92
-1.34,-11.77,13.18
-4.76,-5.71,9.09
7.88,4.38,3.4
-6.34,-0.61,7.12
-0.08,-9.36,9.93
10.32,-4.32,3.08
3.03,4.18,10.87
8.54,-3.08,11.33
10.27,-11.65,7.83
5.79,-1.65,12.71
4.58,-7.5,3.5
10.92,-10.4,8.05
11.55,-5.29,13.22
-1.28,-2.68,10.46
-10.28,-11.77,11.96
-5.04,-2.67,3.46
-8.36,-3.47,8.56
-2.09,1.28,4.95
-8.86,-4.94,9.81
2.32,-2.76,7.83
-2.91,0.41,9.32
9.21,3.01,9.21
10.92,-5.68,10.93
0.97,-1.95,11.84
-5.46,-0.39,1.14
2.04,-11.33,14.01
9.24,1.39,6.14
-2.34,-5.72,2.71
1.09,-0.8,13.63
-5.54,-4.14,11.62
-1.19,-0.26,6.34
-2.46,0.11,8.95
-6.09,-8.84,3.52
-0.0,-0.94,6.24
-4.62,2.24,6.06
-3.14,-8.1,11.19
0.45,0.68,6.51
5.78,-1.41,11.2
-4.08,3.99,11.71
9.89,-7.69,5.84
8.43,-9.47,6.63
-10.81,-6.82,7.8
-5.96,-7.73,0.29
-1.41,0.65,3.07
-9.49,0.26,12.54
-3.72,-0.81,11.29
5.54,-8.42,1.36
4.13,2.42,9.46
2.75,4.01,0.54
4.84,-3.13,8.0
-7.12,-1.15,2.58
-3.88,-3.65,12.63
4.03,-7.3,9.17
8.83,-7.25,1.17
0.89,-6.79,9.55
-5.28,-8.85,13.19
-11.25,3.09,10.89
4.83,2.36,1.91
-11.77,-4.3,9.9
-3.15,-5.89,9.11
0.58,3.72,9.41
9.84,-8.32,11.79
-9.84,-2.76,4.66
-2.36,-11.14,5.4
-11.39,-8.85,3.17
-3.86,-1.91,6.88
2.75,-0.94,6.19
-5.36,-2.3,1.46
-7.0,2.55,3.76
-9.22,4.63,1.98
1.68,0.77,8.29
4.48,-4.25,2.96
3.93,1.95,4.97
10.47,-10.04,12.1
-11.9,-0.58,8.54
3.34,-3.35,7.78
2.23,-9.07,13.95
1.96,4.29,6.59
10.8,-6.37,13.07
-11.56,-1.72,8.63
4.5,2.7,6.13
7.28,-3.55,5.26
0.09,-10.13,13.36
-4.07,1.69,8.45
6.74,-6.13,3.89
-9.66,4.46,7.78
-1.51,2.79,3.87
0.33,2.28,3.73
4.45,-6.07,2.12
-9.81,0.66,10.25
-6.58,4.51,11.58
-2.26,-3.22,4.94
2.77,-4.15,6.18
9.01,-11.81,11.76
2.67,-0.3,0.48
-8.8,2.36,5.07
11.22,-7.9,4.71
8.65,-6.77,8.13
-0.08,-3.65,13.23
9.84,-10.85,0.83
0.84,-10.55,12.48
9.87,-4.99,8.33
7.66,-7.67,8.77
10.93,-5.24,14.14
9.78,-4.43,2.1
-11.11,4.34,4.26
-7.83,3.8,3.58
-2.76,-9.71,7.05
10.55,2.77,8.66
-4.87,-10.71,10.81
-8.17,-3.53,1.01
8.99,-9.31,6.43
-1.41,-5.91,13.66
9.5,0.43,6.96
-8.17,-4.93,12.11
3.67,1.5,1.87
-1.55,0.02,4.45
-10.15,3.78,10.92
4.5,-3.09,9.26
-6.11,1.42,6.67
-11.02,-6.64,9.95
-10.54,-6.25,11.43
-10.52,-5.33,13.27
9.5,-5.16,6.63
5.53,-10.33,9.57
9.27,-3.34,5.78
3.94,-10.43,13.7
0.54,2.89,7.22
-4.76,-11.02,6.2
11.63,-4.51,13.88
-3.4,-7.28,0.27
-0.83,-9.46,5.06
-3.02,1.11,12.41
11.2,-0.05,6.8
-7.83,-9.61,5.3
-4.21,-1.43,8.78
4.12,1.25,6.12
-10.47,0.93,5.02
2.4,-10.51,4.1
-0.67,-0.54,4.79
-5.25,-0.03,13.66
-6.32,2.42,14.17
0.2,-3.52,1.68
-3.26,-4.31,10.92
-1.17,4.15,9.79
-3.98,1.32,9.4
10.98,-2.67,0.72
-8.81,-6.51,4.21
-9.67,2.14,11.07
-3.84,-4.41,7.44
2.01,-10.5,0.59
3.62,-4.42,7.89
-2.57,2.59,12.55
11.66,-4.53,12.99
-3.64,-11.82,13.29
5.09,-1.79,7.9
3.11,4.67,7.02
7.26,1.67,3.79
11.12,-1.69,12.82
9.07,3.3,11.85
6.11,1.61,12.78
4.55,-3.68,3.52
-4.03,-2.13,1.66
-8.47,0.23,10.38
-10.48,2.16,13.5
-6.24,-11.08,13.55
-1.74,0.96,7.92
0.38,-4.54,9.56
6.32,-0.96,1.87
10.7,0.79,4.24
-9.19,-3.0,8.05
-9.43,-9.4,13.03
1.98,-5.18,7.27
5.66,-10.77,8.85
8.09,-0.48,1.05
10.16,3.96,14.25
11.29,1.3,7.39
-2.51,-5.51,2.57
-2.97,-2.24,5.16
-8.47,-6.95,7.69
4.23,-2.97,2.25
3.57,-7.01,3.1
8.42,0.34,13.54
-9.66,-7.7,12.91
-0.19,4.14,2.02
1.78,-0.94,4.29
-6.25,-10.9,9.47
-7.96,-11.88,4.01
8.36,4.69,0.27
-10.58,-8.36,10.42
-0.83,-6.81,3.04
-9.22,-8.56,4.96
-1.16,3.53,4.36
11.21,-1.11,2.45
-1.94,-3.59,2.21
8.3,-2.69,2.34
-9.19,-6.72,14.29
-5.55,-1.74,10.79
-2.41,-5.01,13.89
-2.51,-8.71,8.54
3.91,-1.03,5.05
-3.81,-5.78,2.62
4.91,1.13,7.26
3.15,-5.08,7.4
-2.52,-3.52,11.53
-1.75,1.17,7.91
2.57,-4.54,3.07
-10.3,4.17,12.06
7.48,1.26,2.39
3.49,1.82,7.92
5.21,3.97,0.86
0.73,-5.53,5.6
-9.35,-2.31,10.0
-2.38,-0.41,2.25
-2.38,-0.75,7.86
-4.37,3.95,8.06
-11.25,-7.22,13.44
5.47,-7.17,7.02
-9.36,3.36,1.38
2.37,1.37,2.36
4.66,-8.64,4.24
3.05,-2.48,11.84
10.71,0.47,3.94
-9.52,-6.13,9.09
8.54,-4.76,1.38
-11.27,-2.39,3.18
0.69,-4.21,9.23
-2.4,0.59,1.66
0.43,-11.96,10.63
-3.33,-4.76,6.76
-7.45,-6.39,4.3
-11.51,-1.83,12.93
0.29,0.98,10.01
7.96,-10.78,1.17
-3.14,-9.4,9.97
-6.69,-0.89,3.12
-10.06,0.35,13.6
-9.94,-2.18,2.47
-6.73,4.45,9.19
-9.6,-3.67,3.76
-5.69,-9.77,13.92
-10.4,-0.53,4.95
-10.41,-1.95,8.8
8.28,-2.14,2.12
-8.13,-2.89,7.2
1.27,3.72,9.08
6.32,-9.89,11.43
-1.17,-10.83,8.33
-8.33,-9.47,10.46
-7.24,-7.94,12.71
-1.72,-2.1,4.58
0.53,-1.77,5.18
-3.7,-8.15,0.67
6.51,-3.84,8.29
5.79,-3.96,14.35
9.96,-4.45,10.93
-11.28,1.44,14.65
9.21,-4.14,6.84
-2.68,0.68,11.09
8.8,-9.26,2.58
4.37,-3.12,6.37
11.38,1.78,9.59
5.99,-9.07,6.78
-3.34,-4.25,0.67
-0.11,-1.83,4.84
-3.06,-8.96,10.06
-3.33,0.65,5.98
-5.79,-10.73,6.75
-0.24,3.84,12.67
4.16,-4.19,4.15
-5.4,-6.41,9.18
0.44,-10.1,12.52
-9.19,-4.79,11.96
-8.18,-0.98,3.71
-10.85,-10.47,0.98
10.99,-6.91,4.26
-11.87,1.99,2.8
-7.74,-1.2,0.64
2.53,-8.59,4.66
-10.04,-9.36,7.8
8.89,3.14,9.68
5.05,-7.24,5.73
10.89,-9.04,3.21
0.04,4.74,8.51
-4.86,-6.87,11.16
1.03,-9.96,10.33
10.04,-4.3,12.68
0.35,-4.76,4.07
-5.64,3.51,7.54
8.78,-9.81,7.33
-3.17,-10.53,4.91
-11.93,-10.5,10.21
-6.1,3.13,2.19
-4.44,-4.51,11.93
8.34,-9.53,0.77
-1.12,-2.08,5.88
-1.45,-3.03,9.06
-4.01,-8.73,6.4
8.86,-1.93,9.76
10.38,-6.34,0.8
11.49,-8.06,12.83
-3.05,-3.49,1.37
10.88,-7.16,4.42
6.76,-8.33,4.5
4.01,2.72,0.41
-6.17,-9.44,1.61
-6.84,-7.35,12.61
-8.03,-5.57,11.5
9.85,-7.46,10.96
-5.01,-8.52,10.25
-1.25,0.9,1.32
-0.28,-6.53,4.58
6.44,-10.17,0.34
8.0,-2.97,1.12
-8.67,-9.95,0.79
-1.87,-6.05,3.13
7.97,2.75,1.06
7.38,-5.86,0.49
-9.54,-1.43,3.8
-8.26,-3.41,11.84
-4.77,-9.75,1.06
-10.18,-1.16,14.54
-1.92,2.32,9.79
-9.42,-10.49,12.83
1.47,0.6,9.83
-6.13,-0.46,11.52
2.14,2.5,4.61
-9.18,-10.31,3.98
11.11,-6.92,9.89
10.09,-0.4,8.42
-2.7,-11.69,7.58
-6.23,0.27,2.81
-6.04,2.35,3.59
-0.53,-4.44,8.22
-11.01,-4.76,6.19
3.16,-7.38,14.22
-2.31,-11.98,8.27
-3.04,-8.93,6.51
7.17,4.4,14.04
4.8,2.51,1.57
10.6,-7.58,4.19
-3.64,4.13,5.27
9.26,-5.88,12.63
6.24,-7.06,11.37
-3.51,-9.49,4.66
2.74,3.09,12.91
-5.14,4.52,1.15
8.71,-6.56,7.41
-9.3,-0.24,9.75
-6.94,-6.43,4.77
-7.63,-10.3,1.24
-2.43,-5.46,3.97
5.66,-2.79,7.26
0.5,-9.99,4.86
-0.43,1.69,6.28
-11.95,-3.7,1.59
-1.9,-8.12,0.45
-10.46,-2.1,12.98
-7.04,1.27,1.37
10.08,-6.56,4.49
-6.87,-0.28,9.88
8.33,-4.87,12.5
7.02,4.14,4.9
-8.2,0.89,9.71
2.36,-6.07,7.1
-9.23,-11.76,0.98
5.25,-1.01,6.17
3.11,-8.74,0.67
7.23,-10.01,14.24
-0.63,3.59,11.31
9.67,4.74,5.17
-10.79,-7.53,3.65
-5.04,-6.99,6.05
4.94,-9.29,4.83
-2.08,-4.37,5.62
-7.87,2.49,13.58
-9.43,-0.27,6.11
7.36,2.16,11.01
-0.77,-8.22,2.52
8.9,0.21,7.99
5.37,3.37,7.41
-2.27,-7.33,8.82
-3.13,-0.46,10.11
0.23,-5.33,12.74
9.06,-7.18,3.58
5.47,4.23,5.78
-11.84,-6.2,1.07
4.45,-10.25,9.3
9.78,-5.53,13.81
4.84,-4.54,5.99
-7.78,0.58,14.35
-0.53,3.9,8.92
-8.64,1.67,3.31
-3.47,3.58,7.93
10.19,-4.08,9.53
9.87,0.02,9.91
-5.27,-6.87,9.5
-3.93,-10.89,2.99
2.23,-5.92,3.26
10.81,-0.34,3.75
-8.47,-7.45,10.88
-5.89,2.41,7.49
8.69,1.22,9.99
-0.33,-8.8,11.85
9.29,-6.5,8.43
-7.57,1.81,7.08
0.63,-7.96,6.08
-4.25,-6.49,8.03
-4.48,-6.3,2.41
-1.4,1.4,11.66
-1.72,-11.44,13.49
-3.51,-10.82,12.04
9.67,-2.34,12.17
5.34,-5.39,12.28
5.24,-1.43,2.79
-5.11,-7.58,14.7
1.7,3.22,9.78
6.46,0.72,6.35
6.85,-10.92,13.13
-3.82,1.11,8.7
6.26,4.23,14.67
5.44,3.77,11.16
-8.61,0.3,5.58
8.51,-9.98,11.02
-1.53,-2.38,10.84
-0.46,-7.28,4.78
-1.36,4.24,13.08
1.46,-0.01,2.28
2.72,-1.8,5.54
-0.18,-0.38,9.48
8.53,-4.7,7.2
2.88,-5.8,10.09
-2.47,3.66,14.72
-2.11,-6.48,1.37
7.21,-11.36,11.26
-3.73,-5.33,12.11
-6.96,1.22,4.34
-10.56,-1.17,3.94
8.75,4.1,6.65
9.75,-10.28,5.96
-9.12,3.25,7.61
-4.05,-5.86,3.31
-7.81,-4.1,7.41
-9.22,-4.86,12.04
9.31,-10.1,13.06
-10.62,-7.9,9.92
11.22,0.41,4.42
-9.68,-11.67,12.92
8.45,-9.81,6.36
1.43,-11.64,3.61
-3.26,2.34,2.19
-3.87,-1.69,14.2
5.94,-9.21,1.52
-4.52,0.86,7.93
3.58,4.18,3.18
0.27,3.64,12.85
-0.5,3.42,3.06
9.34,-11.93,10.93
1.15,-2.16,2.64
7.59,-7.75,13.86
5.19,-2.57,9.87
-11.05,-6.72,6.27
6.32,-9.48,14.22
-6.83,-4.59,7.85
9.39,-3.74,5.82
-10.95,4.57,2.6
-4.09,-11.35,10.71
-9.6,-7.0,8.9
-0.72,2.25,3.48
7.43,-0.98,3.87
-4.91,1.83,3.44
-8.39,-0.97,7.44
-4.15,0.7,0.93
7.28,-3.78,4.44
-8.64,-8.62,10.94
-6.59,1.55,9.26
-10.33,-2.52,12.13
4.72,-9.72,11.05
-2.62,1.46,0.55
-4.61,4.04,8.51
5.03,-6.24,6.61
-4.02,-7.13,5.49
5.24,-10.69,14.65
7.31,-0.9,9.78
-6.81,4.05,3.89
11.06,-9.78,7.98
-8.12,-3.91,1.62
-5.08,-10.41,11.06
-7.71,-11.49,5.29
-3.79,-0.9,2.69
-0.61,2.52,2.6
0.38,-6.39,0.46
8.22,2.65,11.53
9.07,-10.09,10.82
-6.76,-8.06,7.28
2.77,3.09,4.68
-9.32,-3.52,5.93
-1.11,-1.84,13.08
-4.34,-11.42,2.0
-4.48,-9.9,0.67
-0.55,-11.12,3.37
5.29,3.14,7.8
-10.32,-9.8,0.35
8.82,2.21,1.75
5.41,-6.16,10.37
-7.79,1.39,6.75
10.24,-5.93,14.01
0.01,-7.56,13.46
11.68,-10.49,4.25
-7.3,-7.34,5.72
0.69,-4.14,13.57
-5.1,1.67,8.65
-4.77,-4.46,5.61
2.01,4.26,11.86
9.83,-2.96,13.66
7.08,-11.64,10.02
5.15,-5.08,3.59
1.26,-0.49,12.14
9.84,-8.12,6.35
-0.32,-0.32,10.38
8.7,-3.6,7.3
7.76,-11.63,13.9
-6.9,0.95,1.23
6.27,-2.65,2.5
-11.67,-10.67,3.07
-4.33,-4.08,3.45
-6.53,-7.23,3.66
0.02,2.72,2.46
5.46,-7.27,10.3
-9.65,3.76,3.41
0.21,-2.88,3.66
10.22,-6.62,3.11
-6.55,1.61,6.03
4.05,-0.34,14.16
2.06,-5.11,5.57
